0,1,2
1,90,33
2,97,71
3,141,53
4,136,76
5,71,62
6,78,75
7,83,85
8,62,102
9,119,45
10,90,52
11,104,66
12,135,69
13,89,53
14,96,39
15,103,41
16,142,44
17,119,47
18,122,51
19,152,69
20,198,55
21,143,58
22,157,63
23,199,64
24,177,67
25,180,95
26,203,136
27,185,82
28,334,97
29,408,88
30,240,129
31,228,89
32,246,90
33,241,98
34,404,138
35,284,106
36,240,113
37,187,142
38,101,120
39,131,129
40,99,116
41,134,125
42,104,139
43,161,122
44,108,127
45,251,133
46,163,151
47,230,133
48,233,136
49,246,197
50,250,153
51,191,164
52,259,178
53,319,173
54,206,132
55,270,85
56,271,72
57,219,106
58,292,69
59,289,70
60,323,96
61,223,73
62,295,96
63,297,76
64,400,114
65,241,123
66,312,78
67,358,97
68,355,81
69,321,81
70,306,132
71,275,122
72,333,113
73,337,86
74,331,137
75,337,89
76,334,133
77,298,97
78,326,91
79,330,123
80,335,95
81,338,119
82,333,97
83,346,148
84,353,100
85,370,127
86,441,102
87,391,127
88,383,105
89,442,172
90,414,107
91,402,138
92,412,170
93,415,136
94,420,121
95,418,158
96,336,114
97,363,155
98,322,152
99,291,118
100,388,111
101,310,113
102,314,169
103,215,119
104,216,150
105,205,119
106,208,123
107,215,120
108,212,122
109,212,155
110,221,123
111,217,125
112,218,127
113,273,126
114,222,150
115,236,129
116,226,167
117,228,131
118,242,132
119,231,133
120,239,134
121,238,135
122,288,136
123,248,190
124,241,140
125,267,141
126,288,143
127,254,145
128,251,145
129,254,145
130,255,172
131,259,184
132,260,149
133,261,152
134,275,152
135,265,255
136,277,154
137,266,155
138,313,157
139,271,182
140,298,158
141,274,192
142,323,160
143,282,161
144,283,166
145,290,168
146,358,166
147,289,214
148,292,167
149,339,168
150,296,174
151,311,171
152,297,207
153,356,189
154,309,174
155,306,181
156,366,176
157,311,178
158,317,184
159,314,179
160,320,181
161,327,183
162,324,184
163,366,190
164,328,185
165,327,186
166,376,191
167,335,190
168,332,195
169,376,192
170,335,193
171,338,211
172,338,230
173,350,200
174,487,247
175,408,198
176,347,200
177,360,267
178,406,209
179,359,203
180,354,206
181,423,249
182,363,310
183,362,213
184,441,209
185,371,215
186,370,211
187,430,279
188,399,219
189,376,214
190,381,219
191,377,217
192,419,241
193,387,233
194,383,220
195,430,264
196,394,286
197,390,244
198,393,224
199,397,229
200,440,283
201,399,264
202,404,234
203,450,239
204,585,230
205,645,242
206,589,232
207,468,302
208,424,238
209,419,266
210,471,244
211,423,274
212,425,245
213,425,240
214,439,248
215,499,277
216,426,250
217,430,247
218,434,253
219,436,349
220,485,253
221,437,249
222,450,251
223,449,286
224,452,253
225,537,255
226,648,372
227,705,259
228,683,257
229,682,266
230,729,294
231,658,261
232,737,263
233,561,297
234,474,267
235,464,266
236,505,273
237,690,303
238,673,273
239,672,269
240,669,338
241,520,280
242,567,275
243,484,351
244,507,275
245,718,277
246,534,283
247,704,311
248,715,283
249,727,281
250,726,352
251,729,287
252,737,285
253,726,405
254,715,290
255,724,289
256,718,296
257,718,290
258,601,292
259,595,291
260,738,294
261,656,301
262,530,296
263,675,330
264,754,303
265,527,300
266,547,334
267,538,339
268,536,302
269,537,338
270,534,311
271,541,307
272,545,340
273,544,316
274,551,309
275,545,345
276,551,318
277,552,315
278,559,358
279,559,323
280,560,321
281,566,330
282,598,328
283,791,325
284,802,325
285,773,331
286,801,327
287,817,327
288,781,335
289,716,406
290,842,326
291,851,329
292,619,461
293,817,332
294,806,333
295,821,453
296,794,342
297,835,336
298,825,336
299,829,344
300,829,388
301,827,341
302,744,342
303,844,432
304,850,348
305,835,346
306,854,349
307,796,354
308,640,379
309,836,350
310,869,353
311,837,435
312,853,356
313,729,356
314,859,357
315,889,363
316,845,469
317,901,359
318,895,360
319,648,399
320,644,368
321,644,363
322,646,363
323,646,365
324,688,405
325,652,374
326,651,369
327,686,371
328,659,371
329,660,515
330,661,380
331,673,375
332,668,377
333,673,376
334,675,468
335,672,386
336,671,455
337,746,386
338,687,384
339,676,399
340,681,392
341,927,542
342,725,387
343,688,389
344,693,389
345,686,389
346,694,501
347,961,402
348,981,472
349,934,396
350,724,396
351,696,397
352,991,403
353,713,549
354,890,410
355,715,502
356,725,405
357,717,405
358,719,406
359,719,406
360,728,477
361,726,414
362,727,449
363,730,418
364,757,558
365,982,416
366,1044,415
367,999,417
368,874,419
369,778,425
370,794,424
371,745,472
372,754,426
373,865,543
374,914,432
375,784,549
376,756,428
377,773,450
378,758,432
379,771,430
380,766,431
381,765,432
382,764,438
383,765,438
384,786,474
385,770,442
386,769,519
387,781,443
388,781,557
389,783,439
390,796,491
391,788,444
392,826,522
393,793,446
394,797,444
395,810,449
396,795,452
397,801,453
398,807,468
399,816,455
400,802,461
401,804,462
402,806,460
403,824,461
404,905,463
405,829,463
406,817,464
407,812,537
408,833,467
409,834,466
410,823,470
411,829,506
412,845,470
413,836,471
414,834,472
415,829,475
416,854,476
417,841,476
418,842,477
419,861,480
420,839,480
421,847,481
422,848,485
423,848,483
424,859,483
425,862,484
426,902,552
427,900,488
428,910,559
429,866,487
430,865,563
431,875,494
432,866,528
433,904,491
434,870,492
435,878,494
436,873,496
437,915,499
438,931,501
439,895,503
440,886,505
441,885,570
442,892,510
443,892,570
444,891,509
445,886,508
446,896,509
447,904,509
448,918,513
449,938,509
450,909,586
451,907,519
452,928,586
453,934,519
454,920,589
455,916,524
456,934,591
457,918,520
458,917,520
459,922,627
460,987,529
461,931,594
462,922,531
463,937,545
464,947,529
465,956,528
466,934,562
467,950,531
468,962,603
469,1112,537
470,1080,570
471,952,539
472,950,537
473,949,606
474,948,540
475,952,609
476,955,544
477,992,547
478,956,544
479,1296,545
480,903,578
481,980,550
482,916,624
483,990,556
484,961,615
485,897,625
486,971,573
487,1366,592
488,980,559
489,1365,610
490,986,648
491,990,557
492,985,595
493,1118,565
494,1188,569
495,1133,645
496,994,641
497,997,567
498,1048,680
499,1007,567
500,1048,602
501,1154,573
502,1007,641
503,1008,580
504,1012,649
505,1013,576
506,1016,640
507,1012,582
508,1014,576
509,1019,578
510,1024,583
511,1029,655
512,1024,589
513,1029,666
514,1052,638
515,1041,584
516,1055,586
517,1049,592
518,1362,694
519,1041,594
520,1087,664
521,1477,593
522,1058,591
523,1136,624
524,1122,600
525,1061,668
526,1062,635
527,1065,604
528,1076,640
529,1114,601
530,1078,667
531,1071,607
532,1553,645
533,1227,610
534,1601,612
535,1175,641
536,1199,611
537,1111,686
538,1102,659
539,1261,623
540,1220,695
541,1093,613
542,1089,688
543,1085,621
544,1091,623
545,1239,656
546,1111,621
547,1270,689
548,1105,627
549,1117,627
550,1146,665
551,1535,624
552,1580,717
553,1607,634
554,1491,636
555,1583,704
556,1589,632
557,1333,701
558,1464,640
559,1513,676
560,1312,709
561,1122,634
562,1126,644
563,1148,680
564,1130,645
565,1169,828
566,1130,822
567,1133,649
568,1151,645
569,1147,654
570,1153,706
571,1145,653
572,1164,711
573,1166,737
574,1190,659
575,1153,660
576,1152,759
577,1159,786
578,1177,664
579,1170,730
580,1167,663
581,1180,703
582,1182,724
583,1219,665
584,1172,771
585,1173,787
586,1185,665
587,1192,709
588,1187,690
589,1191,673
590,1199,743
591,1202,679
592,1224,677
593,1215,775
594,1195,679
595,1190,680
596,1187,745
597,1201,686
598,1199,686
599,1198,784
600,1202,693
601,1202,695
602,1208,778
603,1207,732
604,1212,694
605,1265,722
606,1241,718
607,1224,766
608,1288,724
609,1274,766
610,1267,695
611,1303,697
612,1243,778
613,1268,700
614,1309,704
615,1280,772
616,1269,702
617,1272,707
618,1235,813
619,1240,732
620,1286,711
621,1292,813
622,1340,785
623,1304,714
624,1300,714
625,1256,881
626,1250,714
627,1289,712
628,1296,829
629,1336,717
630,1914,720
631,1911,830
632,1914,869
633,1897,724
634,1533,726
635,1310,836
636,1401,726
637,1385,728
638,1358,729
639,1281,796
640,1280,732
641,1327,734
642,1373,838
643,1450,809
644,1789,821
645,1803,736
646,1637,839
647,1305,853
648,1292,741
649,1301,743
650,1294,810
651,1302,781
652,1336,749
653,1300,763
654,1309,784
655,1317,750
656,1317,751
657,1318,765
658,1321,820
659,1319,759
660,1322,758
661,1323,871
662,1338,832
663,1312,791
664,1337,803
665,1314,831
666,1334,840
667,1336,773
668,1337,767
669,1335,836
670,1340,843
671,1348,768
672,1362,804
673,1358,905
674,1456,783
675,1373,810
676,1357,872
677,1352,810
678,1359,773
679,1377,901
680,1353,848
681,1359,783
682,1352,782
683,1361,781
684,1804,814
685,1958,857
686,1554,780
687,1379,790
688,1379,850
689,1391,792
690,1391,892
691,1387,792
692,1391,879
693,1428,906
694,2040,795
695,2332,797
696,1948,807
697,1790,914
698,1400,896
699,1402,802
700,1401,926
701,1411,867
702,1407,909
703,1454,828
704,1420,804
705,1449,808
706,1415,904
707,1413,924
708,2033,849
709,2103,813
710,2084,849
711,2108,926
712,2147,893
713,2001,814
714,2022,816
715,2016,818
716,2005,926
717,2018,898
718,2054,822
719,2168,826
720,2095,862
721,2137,936
722,2146,880
723,2165,850
724,2179,829
725,2168,832
726,2074,902
727,2071,934
728,2058,830
729,2033,837
730,2470,906
731,2184,854
732,2001,918
733,1532,913
734,1466,845
735,1407,846
736,1409,847
737,1451,915
738,1514,914
739,1468,870
740,1477,892
741,1459,879
742,1458,876
743,1489,921
744,1553,928
745,1496,955
746,1499,861
747,1496,856
748,1506,866
749,1501,925
750,1466,1058
751,1448,927
752,1428,895
753,1416,866
754,1460,867
755,1525,868
756,1555,929
757,1441,934
758,1547,956
759,1510,869
760,1522,924
761,1521,914
762,1565,877
763,1491,958
764,1448,984
765,1411,997
766,1430,876
767,1515,882
768,1507,883
769,1506,897
770,1499,962
771,1552,964
772,1547,996
773,1541,1032
774,1542,888
775,1553,892
776,1526,887
777,1496,968
778,1441,1060
779,1512,895
780,1489,1028
781,1544,897
782,1596,897
783,1508,899
784,1501,902
785,1569,973
786,1567,1013
787,1581,997
788,1591,980
789,1518,906
790,1549,907
791,1550,916
792,1551,921
793,1611,917
794,1596,968
795,1600,1025
796,1561,1078
797,1564,980
798,1507,984
799,1517,920
800,1568,918
801,1590,923
802,1609,956
803,1609,988
804,1618,970
805,1586,924
806,1616,935
807,1496,1052
808,1623,928
809,1603,929
810,1615,1124
811,1620,1087
812,1627,1255
813,1629,1119
814,1705,963
815,1514,970
816,1598,1065
817,1642,937
818,1635,953
819,1546,1043
820,1594,1079
821,1624,1045
822,1682,1053
823,1529,1062
824,1614,1096
825,1613,1116
826,1663,1004
827,1653,989
828,1664,994
829,1660,953
830,1626,1068
831,1535,964
832,1635,971
833,1630,1000
834,1686,967
835,1578,990
836,1663,1026
837,1736,1040
838,1681,1035
839,1681,1040
840,1692,1050
841,1685,1055
842,1588,1028
843,1645,971
844,1732,970
845,1635,968
846,1632,971
847,1689,1066
848,1662,986
849,1574,974
850,1710,975
851,1709,1008
852,1737,979
853,1722,980
854,1672,1014
855,1679,1049
856,1601,1038
857,1673,1081
858,1670,1117
859,1712,1053
860,1672,1091
861,1710,1059
862,1718,1058
863,1723,1059
864,1750,1170
865,1778,1027
866,1679,1064
867,1685,1064
868,1689,1067
869,1666,1070
870,1868,1037
871,1775,1000
872,1639,1026
873,1750,1007
874,1709,1014
875,1730,1016
876,1711,1010
877,1713,1015
878,1723,1013
879,1786,1017
880,1758,1046
881,1745,1017
882,1763,1049
883,1795,1020
884,1705,1021
885,1707,1022
886,1713,1020
